Matrice de transition pour le 2021-03-01
                             Anderlecht  Auderghem  Berchem-Sainte-Agathe  Bruxelles  Etterbeek  Evere  Forest (Bruxelles-Capitale)  Ganshoren  Ixelles  Jette  Koekelberg  Molenbeek-Saint-Jean  Saint-Gilles  Saint-Josse-ten-Noode  Schaerbeek  Uccle  Watermael-Boitsfort  Woluwe-Saint-Lambert  Woluwe-Saint-Pierre
Forest (Bruxelles-Capitale)    0.000000      0.000               0.000000   0.000000   0.000000  0.000                        0.875        0.0  0.000000  0.000000         0.0              0.000000      0.000000                    0.0    0.000000  0.000000             0.000000              0.000000                  0.0
Ganshoren                      0.000000      0.000               0.000000   0.000000   0.000000  0.000                        0.000        1.0  0.000000  0.000000         0.0              0.000000      0.000000                    0.0    0.000000  0.000000             0.000000              0.000000                  0.0
Ixelles                        0.000000      0.000               0.000000   0.000000   0.000000  0.000                        0.000        0.0  1.047619  0.000000         0.0              0.000000      0.000000                    0.0    0.000000  0.000000             0.000000              0.000000                  0.0
Jette                          0.000000      0.000               0.000000   0.000000   0.000000  0.000                        0.000        0.0  0.000000  0.842105         0.0              0.000000      0.000000                    0.0    0.000000  0.000000             0.000000              0.000000                  0.0
Koekelberg                     0.000000      0.000               0.000000   0.000000   0.000000  0.000                        0.000        0.0  0.000000  0.000000         4.5              0.000000      0.000000                    0.0    0.000000  0.000000             0.000000              0.000000                  0.0
Molenbeek-Saint-Jean           0.000000      0.000               0.000000   0.000000   0.000000  0.000                        0.000        0.0  0.000000  0.000000         0.0              1.227273      0.000000                    0.0    0.000000  0.000000             0.000000              0.000000                  0.0
Saint-Gilles                   0.000000      0.000               0.000000   0.000000   0.000000  0.000                        0.000        0.0  0.000000  0.000000         0.0              0.000000      0.896552                    0.0    0.000000  0.000000             0.000000              0.000000                  0.0
Saint-Josse-ten-Noode          0.000000      0.000               0.000000   0.000000   0.000000  0.000                        0.000        0.0  0.000000  0.000000         0.0              0.000000      0.000000                    1.5    0.000000  0.000000             0.000000              0.000000                  0.0
Schaerbeek                     0.000000      0.000               0.000000   0.000000   0.000000  0.000                        0.000        0.0  0.000000  0.000000         0.0              0.000000      0.000000                    0.0    0.882353  0.000000             0.000000              0.000000                  0.0
Uccle                          0.000000      0.000               0.000000   0.000000   0.000000  0.000                        0.000        0.0  0.000000  0.000000         0.0              0.000000      0.000000                    0.0    0.000000  0.869565             0.000000              0.000000                  0.0
