DATE,TX_DESCR_FR,CASES_PER_10K,CASES_PER_10K_MA
2020-03-23,Koekelberg,0.9022013713460844,0.69
2020-03-23,Molenbeek-Saint-Jean,0.9217817016090212,0.96
2020-03-23,Saint-Gilles,0.40272240344730376,0.83
2020-03-23,Saint-Josse-ten-Noode,0.7393715341959335,0.6
2020-03-23,Schaerbeek,0.5307372698874837,0.69
2020-03-23,Uccle,0.8314724188720483,0.56
2020-03-23,Watermael-Boitsfort,0.793587810491231,0.76
2020-03-23,Woluwe-Saint-Lambert,0.34458993797381116,0.53
2020-03-23,Woluwe-Saint-Pierre,0.4757600266425615,0.45
2020-03-24,Anderlecht,0.9858449101648825,1.0
2020-03-24,Auderghem,1.4474712676953363,0.79
2020-03-24,Berchem-Sainte-Agathe,0.8294281093186248,0.91
2020-03-24,Bruxelles,1.231368853863286,0.75
2020-03-24,Etterbeek,0.410913872452334,0.71
2020-03-24,Evere,0.46846087180568247,0.81
2020-03-24,Forest (Bruxelles-Capitale),0.3517040059086273,0.86
2020-03-24,Ganshoren,0.7934618741569468,0.68
2020-03-24,Ixelles,1.4854256887233337,0.73
2020-03-24,Jette,0.3777005589968273,0.77
2020-03-24,Koekelberg,0.9022013713460844,0.73
2020-03-24,Molenbeek-Saint-Jean,1.9459835922857114,0.99
2020-03-24,Saint-Gilles,0.40272240344730376,0.83
2020-03-24,Saint-Josse-ten-Noode,0.7393715341959335,0.63
2020-03-24,Schaerbeek,0.6823764898553362,0.72
2020-03-24,Uccle,0.8314724188720483,0.56
2020-03-24,Watermael-Boitsfort,0.793587810491231,0.81
2020-03-24,Woluwe-Saint-Lambert,1.3783597518952446,0.62
2020-03-24,Woluwe-Saint-Pierre,0.4757600266425615,0.52
2020-03-25,Anderlecht,1.0679986526786227,1.04
2020-03-25,Auderghem,0.5789885070781345,0.83
2020-03-25,Berchem-Sainte-Agathe,0.8294281093186248,0.91
2020-03-25,Bruxelles,0.7495288675689566,0.78
2020-03-25,Etterbeek,1.027284681130835,0.71
2020-03-25,Evere,0.46846087180568247,0.81
2020-03-25,Forest (Bruxelles-Capitale),1.5826680265888229,0.9
2020-03-25,Ganshoren,0.7934618741569468,0.72
2020-03-25,Ixelles,0.5713175725858975,0.73
2020-03-25,Jette,0.3777005589968273,0.77
2020-03-25,Koekelberg,0.9022013713460844,0.77
2020-03-25,Molenbeek-Saint-Jean,1.7411432141503733,1.03
2020-03-25,Saint-Gilles,1.2081672103419114,0.83
2020-03-25,Saint-Josse-ten-Noode,0.7393715341959335,0.67
2020-03-25,Schaerbeek,1.2131137597428199,0.75
2020-03-25,Uccle,1.4253812894949398,0.56
2020-03-25,Watermael-Boitsfort,0.793587810491231,0.81
2020-03-25,Woluwe-Saint-Lambert,1.206064782908339,0.66
